verb_form	sense_id	role_type	proto_question	support	squad_f1	proto_count_qasrl	proto_count_onto
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something something?	100	0.7514781997530313	4.0	1.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> into something?	100	0.7501642165404331	0.0	2.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> something ?	100	0.7464457043762687	32.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something do something?	100	0.7408245565893141	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> into something?	100	0.7384764585520857	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> up ?	100	0.7354083838063395	2.0	6.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> to something?	100	0.7331583050318735	4.0	4.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something ?	100	0.729218370504867	196.0	235.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> doing something?	100	0.7282712582402491	3.0	2.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> down ?	100	0.7262963830667174	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> up something?	100	0.7259236591775472	2.0	3.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> of something?	100	0.7179742498171184	2.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something of something?	100	0.7165876393330594	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> to something?	100	0.716115765928465	7.0	3.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> as something?	100	0.71545670978001	6.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> over something?	100	0.713475663121764	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> to do something?	100	0.7123889469531807	11.0	17.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> by someone?	100	0.7117332127784014	3.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something against someone?	100	0.7100595456102394	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> in something?	100	0.7098460891101819	4.0	2.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something as something?	100	0.7096151507631876	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> on something?	100	0.7079421211401683	3.0	2.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something to do something?	100	0.7077220558968879	2.0	2.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> in something?	100	0.7050549635690564	2.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> of someone?	100	0.6996648676508402	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something somewhere?	100	0.6996616963416712	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> through something?	100	0.6971931005528456	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> from something?	100	0.6964078268560588	6.0	1.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> down ?	100	0.6956023847184086	2.0	0.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> ?	100	0.6928841716145111	112.0	51.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something from someone?	100	0.6921689215444634	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> on something?	100	0.6912505264322957	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> out ?	100	0.6898149698231225	2.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> at something?	100	0.6896951549963451	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> to do something?	100	0.689580451807464	6.0	4.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> out ?	100	0.6888809386523971	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something for something?	100	0.6881720442910351	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> for something?	100	0.6846830618323971	0.0	2.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> something to someone?	100	0.6839500534893136	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> for something?	100	0.6838362052079191	7.0	1.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> from something?	100	0.6819645928032648	3.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> off ?	100	0.6801357286836844	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> to someone?	100	0.6750249826027509	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> about something?	100	0.674597750029573	1.0	1.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> in doing something?	100	0.6745198136710039	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> ?	100	0.6744824491659829	113.0	52.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> as something?	100	0.6742348190298583	18.0	0.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> by something?	100	0.6726448417680697	5.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> out of something?	100	0.6689794228740265	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> against someone?	100	0.6681149796098066	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> by something?	100	0.667043727244967	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> somewhere?	100	0.6643499781788396	36.0	20.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> with someone?	100	0.6586367281742526	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> on someone?	100	0.6559162408352868	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> with something?	100	0.651516557095304	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> with something?	100	0.6487391576831218	3.0	2.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> in ?	100	0.6442105735433762	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> somewhere?	100	0.6439819870010922	23.0	2.0
<PLACEHOLDER>	01	AM-CAU	why is something <PLACEHOLDER> as someone?	100	0.6435606736014761	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	how does something <PLACEHOLDER> up something?	100	0.6340431788979517	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	how is something <PLACEHOLDER> something ?	100	0.6333974499505023	2.0	0.0
<PLACEHOLDER>	01	AM-CAU	how does something <PLACEHOLDER> something ?	100	0.6228715516449291	9.0	55.0
<PLACEHOLDER>	01	AM-CAU	why does something <PLACEHOLDER> as ?	100	0.620179800397458	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	how does something <PLACEHOLDER> for something?	100	0.5648777271286014	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	how does something <PLACEHOLDER> into something?	100	0.5587228267097505	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	how is something <PLACEHOLDER> from something?	100	0.5437179076685047	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	how does something <PLACEHOLDER> somewhere?	100	0.5142100280072147	2.0	2.0
<PLACEHOLDER>	01	AM-CAU	how does something <PLACEHOLDER> of something?	100	0.49626843725400055	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	how does something <PLACEHOLDER> up ?	100	0.4804624685928054	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	how does something <PLACEHOLDER> to do something?	100	0.4728780370494848	0.0	3.0
<PLACEHOLDER>	01	AM-CAU	how is something <PLACEHOLDER> somewhere?	100	0.4663658464829865	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	what does something <PLACEHOLDER> something?	100	0.4661466125005596	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	how much is something <PLACEHOLDER> something ?	100	0.4641292335467653	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	how is something <PLACEHOLDER> ?	100	0.42171521876688545	14.0	13.0
<PLACEHOLDER>	01	AM-CAU	what does something <PLACEHOLDER> of something?	100	0.40683961174382177	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	What is <PLACEHOLDER> something ?	100	0.3987329668153198	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	how does something <PLACEHOLDER> ?	100	0.3948377376472403	31.0	15.0
<PLACEHOLDER>	01	AM-CAU	where does something <PLACEHOLDER> something something?	100	0.3937529942571171	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	where is something <PLACEHOLDER> something ?	100	0.380699754563599	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	when does something <PLACEHOLDER> for something?	100	0.3802902661330411	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	when does something <PLACEHOLDER> something ?	100	0.3801252333935372	4.0	50.0
<PLACEHOLDER>	01	AM-CAU	where does something <PLACEHOLDER> something ?	100	0.3797988309258332	0.0	8.0
<PLACEHOLDER>	01	AM-CAU	when is something <PLACEHOLDER> something ?	100	0.37384429356042337	0.0	2.0
<PLACEHOLDER>	01	AM-CAU	what is <PLACEHOLDER> something ?	100	0.3699558106381635	0.0	2.0
<PLACEHOLDER>	01	AM-CAU	what does something <PLACEHOLDER> up something?	100	0.3686465508153621	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	What does something <PLACEHOLDER> something for ?	100	0.3613673123259036	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	what does something <PLACEHOLDER> something for ?	100	0.3613673123259036	1.0	0.0
<PLACEHOLDER>	01	AM-CAU	what is something <PLACEHOLDER> for ?	100	0.3504521422152327	4.0	0.0
<PLACEHOLDER>	01	AM-CAU	what is something <PLACEHOLDER> from ?	100	0.34974499815145194	4.0	0.0
<PLACEHOLDER>	01	AM-CAU	when does something <PLACEHOLDER> in something?	100	0.33851837905039545	0.0	1.0
<PLACEHOLDER>	01	AM-CAU	what <PLACEHOLDER> up something?	100	0.33610374402683396	0.0	4.0
