predicate_lemma	sense_id	pos	sense_particle	role_type	roleset_desc	role_desc	function_tag	vn_theta
FedEx	01	v	_	A0	send via Federal Express	mailer	_	AGENT
FedEx	01	v	_	A1	send via Federal Express	letter	_	THEME
FedEx	01	v	_	A2	send via Federal Express	mailed-to	_	DESTINATION
UPS	01	v	_	A0	send via UPS	mailer	_	AGENT
UPS	01	v	_	A1	send via UPS	letter	_	THEME
UPS	01	v	_	A2	send via UPS	mailed-to	_	DESTINATION
abandon	01	v	_	A0	leave behind	abandoner		THEME
abandon	01	v	_	A1	leave behind	thing abandoned, left behind		SOURCE
abandon	01	v	_	A2	leave behind	attribute of arg1		_
abandon	02	v	_	A0	exchange	abandoner		THEME
abandon	02	v	_	A1	exchange	thing abandoned, left behind		SOURCE
abandon	02	v	_	A2	exchange	preferred item		_
abandon	03	v	_	A0	surrender, give_over	entity abandoning something		_
abandon	03	v	_	A1	surrender, give_over	thing abandoned		_
abandon	03	v	_	A2	surrender, give_over	benefactive, abandoned-to		_
abase	01	v	_	A0	to lower in estimation, humble	causer of humbling		AGENT
abase	01	v	_	A1	to lower in estimation, humble	entity lowered, humbled		PATIENT
abase	01	v	_	A2	to lower in estimation, humble	instrument, if separate from arg 0		INSTRUMENT
abash	01	v	_	A0	cause shame	causer of shame	_	CAUSE
abash	01	v	_	A1	cause shame	abashed entity	_	EXPERIENCER
abash	01	v	_	A2	cause shame	instrument, if separate from arg0	_	_
abate	01	v	_	A0	to decrease,  become less strong	causer	_	AGENT
abate	01	v	_	A1	to decrease,  become less strong	entity decreased	_	PATIENT
abbreviate	01	v	_	A0	make shorter, especially words	causal agent		AGENT
abbreviate	01	v	_	A1	make shorter, especially words	thing becoming shorter		PATIENT
abbreviate	01	v	_	A2	make shorter, especially words	EXT, arg1 is shortened by how much?		_
abbreviate	01	v	_	A3	make shorter, especially words	start state of arg 1, original word when separate mention		_
abbreviate	01	v	_	A4	make shorter, especially words	end state of arg1, new abbreviation		_
abdicate	01	v	_	A0	to relinquish (power or responsibility)	abdicator, agent		AGENT
abdicate	01	v	_	A1	to relinquish (power or responsibility)	responsibility		SOURCE
abduct	01	v	_	A0	to carry someone off by force	agent		AGENT
abduct	01	v	_	A1	to carry someone off by force	person kidnapped		THEME
abduction	01	n	_	A0	To move something away by force	Agent		_
abduction	01	n	_	A1	To move something away by force	Thing removed, person kidnapped		_
abet	01	v	_	A0	aid	agent of abetting		AGENT
abet	01	v	_	A1	aid	thing helped, action		BENEFICIARY
abhor	01	v	_	A0	despise	despiser		EXPERIENCER
abhor	01	v	_	A1	despise	object of despisal		THEME
abide	01	v	_	A0	conform to	conformer		_
abide	01	v	_	A1	conform to	thing conformed to		_
ablation	01	n	_	A0	Surgical removal of a body part	Agent, surgeon		_
ablation	01	n	_	A1	Surgical removal of a body part	Part of body ablated		_
ablation	01	n	_	A2	Surgical removal of a body part	Patient undergoing ablation, removed from		_
abnegate	01	v	_	A0	to give up, renounce	person giving something up		_
