predicate_lemma	sense_id	pos	sense_particle	role_type	roleset_desc	role_desc	function_tag	vn_theta
1500	_	j	01	A1	consisting of a quantity of 1500	thing that is 1500	PPT	_
300	_	j	01	A1	consisting of a quantity of 300	thing that is 300	PPT	_
aa	_	j	01	A0	awake and alert	awake/alert entity	PAG	_
aao	_	j	01	A0	awake, alert and oriented (part of a neuro exam)	awake, alert, and oriented person	PAG	_
aao	_	j	01	A1	awake, alert and oriented (part of a neuro exam)	"oriented to (some number out of 3, usually ""x3"" or such)"	PPT	_
abandon	_	v	01	A0	leave behind	abandoner	PPT	THEME
abandon	_	v	02	A0	exchange	abandoner	PAG	_
abandon	_	v	03	A0	surrender, give_over	entity abandoning something	PAG	_
abandon	_	v	01	A1	leave behind	thing abandoned, left behind	DIR	_
abandon	_	v	02	A1	exchange	thing abandoned, left behind	PPT	_
abandon	_	v	03	A1	surrender, give_over	thing abandoned	PPT	_
abandon	_	v	01	A2	leave behind	attribute of arg1	PRD	_
abandon	_	v	02	A2	exchange	preferred item	GOL	_
abandon	_	v	03	A2	surrender, give_over	benefactive, abandoned-to	GOL	_
abase	_	v	01	A0	to lower in estimation, humble	causer of humbling	PAG	AGENT
abase	_	v	01	A1	to lower in estimation, humble	entity lowered, humbled	PPT	PATIENT
abase	_	v	01	A2	to lower in estimation, humble	instrument, if separate from arg 0	MNR	INSTRUMENT
abash	_	v	01	A0	cause shame	causer of shame	PAG	STIMULUS
abash	_	v	01	A1	cause shame	abashed entity	PPT	EXPERIENCER
abash	_	v	01	A2	cause shame	instrument, if separate from arg0	MNR	_
abate	_	v	01	A0	to decrease,  become less strong	causer	PAG	AGENT
abate	_	v	01	A1	to decrease,  become less strong	entity decreased	PPT	PATIENT
abbreviate	_	n	01	A0	make shorter, especially words	causal agent	PAG	AGENT
abbreviate	_	n	01	A1	make shorter, especially words	thing becoming shorter	PPT	PATIENT
abbreviate	_	n	01	A2	make shorter, especially words	EXT, arg1 is shortened by how much?	EXT	_
abbreviate	_	n	01	A3	make shorter, especially words	start state of arg 1, original word when separate mention	DIR	_
abbreviate	_	n	01	A4	make shorter, especially words	end state of arg1, new abbreviation	PRD	_
abdicate	_	n	01	A0	to relinquish (power or responsibility)	abdicator, agent	PAG	AGENT
abdicate	_	n	01	A1	to relinquish (power or responsibility)	responsibility	DIR	SOURCE
abdominal	_	j	01	A1	of the abdomen	abdominal entity	PPT	_
abduct	_	n	01	A0	to carry someone off by force	agent	PAG	AGENT
abduct	_	n	02	A0	move away from a central axis	mover	PAG	_
abduct	_	n	01	A1	to carry someone off by force	person kidnapped	PPT	THEME
abduct	_	n	02	A1	move away from a central axis	thing moved	PPT	_
aberrate	_	v	01	A1	diverge from what is expected	thing diverging	PPT	_
aberrate	_	v	01	A2	diverge from what is expected	the norm	DIR	_
abet	_	v	01	A0	aid	agent of abetting	PAG	AGENT
abet	_	v	01	A1	aid	thing helped, action	GOL	BENEFICIARY
abhor	_	v	01	A0	despise	despiser	PPT	EXPERIENCER
abhor	_	v	01	A1	despise	object of despisal	PAG	STIMULUS
abide	_	v	01	A0	conform to	conformer	PPT	_
abide	_	v	01	A1	conform to	thing conformed to	GOL	_
ablate	_	v	01	A0	surgical removal of a body part; controlled surgical removal	Agent, surgeon	PAG	AGENT
ablate	_	v	02	A0	erode	cause of erosion	PAG	_
ablate	_	v	01	A1	surgical removal of a body part; controlled surgical removal	Part of body ablated	PPT	THEME
ablate	_	v	02	A1	erode	entity removed, eroded away	PPT	_
ablate	_	v	01	A2	surgical removal of a body part; controlled surgical removal	Patient undergoing ablation, removed from	DIR	SOURCE
ablate	_	v	02	A2	erode	eroded from, source a piece is removed from	DIR	_
able	_	j	01	A1	have an ability, skill, being able	entity with ability	PPT	_
able	_	j	01	A2	have an ability, skill, being able	ability itself, what is arg1 able to do?	PRD	_
abnegate	_	v	01	A0	to give up, renounce	person giving something up	PAG	_
abnegate	_	v	01	A1	to give up, renounce	entity given up, renounced	PPT	_
abnegate	_	v	01	A2	to give up, renounce	Benefactive/ Malefactive, often reflexive	GOL	_
abnormal	_	j	01	A1	non-standard or atypical, abnormal	atypical thing	PAG	_
abolish	_	v	01	A0	get rid of, make illegal, act of doing away with something	entity getting rid of, outlawing something	PAG	AGENT
abolish	_	v	01	A1	get rid of, make illegal, act of doing away with something	thing abolished	PPT	THEME
abominable	_	j	02	A0	deplorable	entity deeming arg1 abominable	PAG	_
abominable	_	j	02	A1	deplorable	snowman, or other deplorable thing	PPT	_
abominate	_	v	01	A0	revile	despiser	PPT	_
abominate	_	v	01	A1	revile	thing despised	PAG	_
abort	_	v	01	A0	to terminate	causer, agent	PAG	_
abort	_	v	01	A1	to terminate	entity aborted	PPT	_
abound	_	v	01	A1	be plentiful	thing which is plentiful	LOC	LOCATION
abound	_	v	01	A2	be plentiful	thing which has arg1 in great supply	PPT	THEME
about	_	j	01	A1	located 'around', in the general vicinity	entity who is around	PAG	_
aboutface	_	v	03	A0	about-face, change your mind/stance completely	Person changing mind	PAG	_
aboutface	_	v	03	A1	about-face, change your mind/stance completely	Regarding what issue	VSP	_
abrade	_	n	01	A0	wear off or rub off	agent, causing wearing	PAG	AGENT
abrade	_	n	01	A1	wear off or rub off	thing wearing	PPT	PATIENT
abrade	_	n	01	A2	wear off or rub off	instrument	MNR	INSTRUMENT
abridge	_	v	01	A0	to cut short	causer	PAG	AGENT
abridge	_	v	01	A1	to cut short	thing abridged	PPT	PATIENT
abrogate	_	v	01	A0	block a biological process or function	intentional agent of abrogation (e.g. scientist)	PAG	_
abrogate	_	v	01	A1	block a biological process or function	thing abrogated, blocked	PPT	_
abrogate	_	v	01	A2	block a biological process or function	instrument	MNR	_
absent	_	v	01	A0	cause to be absent, not being there, no longer present	causer, agent	PAG	_
absent	_	v	01	A1	cause to be absent, not being there, no longer present	absent entity	PPT	_
absent	_	v	01	A2	cause to be absent, not being there, no longer present	absent from what	GOL	_
absolute	_	j	01	A1	all encompassing, without exception	absolute thing	PPT	_
absolve	_	v	01	A0	remove guilt	absolver, agent	CAU	CAUSE
absolve	_	v	01	A1	remove guilt	guilty party	DIR	SOURCE
absolve	_	v	01	A2	remove guilt	guilt	PPT	THEME
absorb	_	n	01	A0	suck up	absorber, cause or agent	PAG	_
absorb	_	n	01	A1	suck up	absorbed, us. liquid	PPT	_
absorb	_	n	01	A2	suck up	sponge, arg 1 is absorbed into this, when separate from cause	GOL	_
absorb	_	n	01	A3	suck up	Source of liquid, absorbed from what?	DIR	_
abstain	_	v	01	A0	to refrain	entity abstaining	PAG	AGENT
abstain	_	v	01	A1	to refrain	abstaining from	PPT	THEME
abstract	_	v	01	A0	to draw or take away	entity abstracting	PAG	AGENT
abstract	_	v	01	A1	to draw or take away	thing being abstracted	PPT	THEME
abstract	_	v	01	A2	to draw or take away	abstracted from	DIR	SOURCE
