verb_form	sense_id	role_type	proto_question	support	squad_f1	proto_count_qasrl	proto_count_onto
abandon	1	A0	what abandons something ?	49	0.7455944282474893	17.0	42.0
abandon	1	A0	what abandons something ?	49	0.7315030774214446	0.0	2.0
abandon	1	A1	what does something abandon ?	50	0.7052900432900434	10.0	8.0
abandon	1	A1	what is abandoned ?	50	0.6815686274509803	20.0	9.0
abandon	1	A2	how is something abandoned ?	1	0.4	0.0	1.0
abandon	1	A2	what does something abandon ?	1	0.3333333333333333	1.0	0.0
abandon	2	A0	what abandons something ?	1	1.0	0.0	2.0
abandon	2	A0	what abandons something ?	1	1.0	17.0	42.0
abandon	2	A1	what does something abandon ?	1	1.0	10.0	8.0
abandon	2	A1	what is abandoned ?	1	1.0	20.0	9.0
abandon	2	A2	how is something abandoned ?	1	0.0	0.0	1.0
abandon	2	A2	what does something abandon ?	1	0.0	1.0	0.0
abandon	3	A0	what abandons something ?	1	1.0	0.0	2.0
abandon	3	A0	what abandons ?	1	1.0	1.0	1.0
abandon	3	A1	what does something abandon ?	2	0.5	10.0	8.0
abandon	3	A1	what is abandoned ?	2	0.5	20.0	9.0
abandon	3	A2	how is something abandoned ?	1	0.631578947368421	0.0	1.0
abandon	3	A2	what does something abandon ?	1	0.3225806451612904	1.0	0.0
abase	1	A0	what abases something ?	2	0.5	0.0	1.0
abate	1	A1	what abates ?	7	0.8928571428571429	1.0	2.0
abate	1	A1	what is abated ?	7	0.7759740259740259	0.0	1.0
abbreviate	1	A1	what is abbreviated to something?	1	1.0	0.0	1.0
abbreviate	1	A1	what is abbreviated ?	1	0.0	2.0	0.0
abbreviate	1	A2	what is something abbreviated to ?	1	0.6666666666666666	1.0	0.0
abbreviate	1	A2	how is something abbreviated ?	1	0.5	1.0	0.0
abdicate	1	A0	what abdicates ?	2	1.0	4.0	0.0
abdicate	1	A0	what abdicates something ?	2	1.0	0.0	2.0
abdicate	1	A1	what does something abdicate to ?	2	0.5	1.0	0.0
abdicate	1	A1	when does something abdicate ?	2	0.0	1.0	0.0
abduct	1	A0	what abducts something ?	3	0.7407407407407408	2.0	2.0
abduct	1	A1	what does something abduct ?	6	0.8333333333333334	1.0	1.0
abduct	1	A1	what is abducted ?	6	0.7142857142857143	2.0	2.0
abet	1	A0	what abets something ?	3	0.7216117216117216	0.0	1.0
abet	1	A1	what is abetted ?	3	0.5777777777777778	0.0	1.0
abet	1	A1	where is something abetted ?	3	0.2777777777777777	0.0	1.0
abhor	1	A0	what abhors something ?	1	1.0	0.0	1.0
abide	1	A0	what abides ?	14	0.4260204081632653	0.0	12.0
abide	1	A0	what abides ?	14	0.008928571428571428	0.0	1.0
abide	1	A1	how does something abide ?	17	0.8205216928400321	0.0	4.0
abide	1	A1	what does something abide by ?	17	0.6303219602254386	1.0	0.0
abolish	1	A0	what abolishes something ?	9	0.6555555555555556	1.0	8.0
abolish	1	A0	what abolishes something ?	9	0.5481481481481482	2.0	0.0
abolish	1	A1	what does something abolish ?	19	0.9192982456140352	3.0	1.0
abolish	1	A1	what is abolished ?	19	0.8483208020050125	11.0	5.0
abort	1	A0	what aborts something ?	8	0.40625	1.0	0.0
abort	1	A0	how is something aborted ?	8	0.2796717171717171	3.0	0.0
abort	1	A1	what does something abort ?	4	0.5833333333333334	1.0	0.0
abort	1	A1	what is aborted ?	4	0.4583333333333334	1.0	1.0
abound	1	A1	what abounds ?	4	0.75	0.0	1.0
abound	1	A2	what abounds with something?	1	1.0	0.0	1.0
absolve	1	A0	what absolves something ?	2	0.5	0.0	2.0
absolve	1	A1	what is absolved ?	2	0.5	0.0	1.0
absorb	1	A0	what absorbs something ?	38	0.712195595941726	4.0	11.0
absorb	1	A0	what absorbs something ?	38	0.6842165574363718	59.0	15.0
absorb	1	A1	what is absorbed ?	50	0.7944996336996336	47.0	16.0
absorb	1	A1	what does something absorb ?	50	0.7808805860805861	58.0	6.0
absorb	1	A2	what is something absorbed from ?	2	0.8148148148148149	2.0	0.0
absorb	1	A2	where does something absorb something ?	2	0.8148148148148149	2.0	0.0
abstain	1	A0	what abstains ?	4	0.9166666666666666	0.0	2.0
abuse	1	A0	what abuses something ?	25	0.5245714285714287	3.0	14.0
abuse	1	A0	what abuses something ?	25	0.5245714285714286	3.0	14.0
abuse	1	A1	what is abused ?	31	0.630139865793516	3.0	1.0
abuse	1	A1	what does something abuse ?	31	0.6143180531975099	1.0	2.0
abuse	2	A0	what abuses something ?	6	0.6555555555555556	0.0	1.0
abuse	2	A0	what abuses something ?	6	0.6555555555555556	3.0	14.0
abuse	2	A1	what is abused ?	8	0.7416666666666667	3.0	1.0
abuse	2	A1	what does something abuse ?	8	0.6541666666666667	1.0	2.0
accede	1	A0	what accedes to something?	2	0.9	1.0	0.0
accede	1	A0	what accedes ?	2	0.9	0.0	1.0
accede	1	A1	what does something accede to ?	1	0.8	1.0	1.0
accelerate	1	A0	what accelerates something ?	21	0.6672557145463549	1.0	7.0
accelerate	1	A0	what accelerates something ?	21	0.6232279022720199	1.0	14.0
accelerate	1	A1	what is accelerated ?	50	0.8024015984015983	3.0	10.0
accelerate	1	A1	what accelerates ?	50	0.7278258408258408	14.0	2.0
accelerate	1	A2	how does something accelerate ?	6	0.3996913580246913	2.0	0.0
accelerate	1	A2	what does something accelerate ?	6	0.21428571428571427	0.0	1.0
accent	1	A1	what is accented ?	1	0.20000000000000004	0.0	1.0
accentuate	1	A1	what does something accentuate ?	1	0.33333333333333337	1.0	0.0
accentuate	1	A1	what is accentuated ?	1	0.33333333333333337	0.0	1.0
accentuate	1	A2	how is something accentuated ?	1	0.0	0.0	1.0
accept	1	A0	what accepts something in something?	50	0.537401739182227	1.0	0.0
accept	1	A0	what accepts something ?	50	0.5286988566988567	33.0	281.0
accept	1	A1	what does something accept ?	50	0.6888539793539793	35.0	67.0
accept	1	A1	what does something accept in something?	50	0.6804720630246947	1.0	0.0
accept	1	A2	where is something accepted from ?	10	0.691067821067821	0.0	2.0
accept	1	A2	what is something accepted from ?	10	0.6577344877344877	1.0	0.0
accept	1	A3	what is something accepted for ?	26	0.7479217363832751	1.0	0.0
accept	1	A3	what is something accepted as ?	26	0.7439978824594211	1.0	0.0
access	1	A0	what accesses something ?	8	0.8753052503052504	1.0	0.0
access	1	A0	what accesses something ?	8	0.8753052503052504	11.0	2.0
access	1	A1	what does something access to ?	32	0.6621939403189404	1.0	0.0
access	1	A1	what does something access ?	32	0.6434439403189404	12.0	0.0
acclaim	1	A0	what acclaims something ?	1	0.5714285714285715	0.0	1.0
acclaim	1	A0	where does something acclaim something as someone?	1	0.0	1.0	0.0
acclaim	1	A1	what does something acclaim as someone?	2	0.05555555555555555	1.0	0.0
accommodate	1	A0	what accommodates something ?	15	0.4634920634920635	1.0	8.0
accommodate	1	A0	what accommodates to something?	15	0.4158730158730159	0.0	2.0
accommodate	1	A1	what is accommodated ?	28	0.6627899877899878	3.0	2.0
accommodate	1	A1	what does something accommodate ?	28	0.5740429505135387	1.0	1.0
accompany	1	A0	what accompanies ?	50	0.6329691863303387	0.0	1.0
accompany	1	A0	what is accompanied ?	50	0.6038389832001356	1.0	0.0
accompany	1	A1	what does something accompany ?	40	0.7075595238095238	4.0	2.0
accompany	1	A1	what is accompanied by someone?	40	0.6693772893772895	1.0	0.0
accompany	1	A4	where is something accompanied ?	5	0.580952380952381	0.0	1.0
accompany	1	A4	where does something accompany something ?	5	0.5333333333333333	2.0	1.0
accomplish	1	A0	what accomplishes something ?	26	0.5200387847446671	4.0	15.0
accomplish	1	A0	what accomplishes something ?	26	0.5005252100840336	3.0	3.0
accomplish	1	A1	what does something accomplish ?	38	0.4453738512949039	6.0	8.0
accomplish	1	A1	what is accomplished ?	38	0.4038612671335783	5.0	5.0
accord	1	A0	what accords ?	1	1.0	1.0	0.0
accord	1	A0	what accords something ?	1	1.0	0.0	1.0
accord	1	A1	what does something accord ?	1	1.0	1.0	0.0
accord	1	A1	what does something accord with ?	1	0.7272727272727273	1.0	0.0
accord	1	A2	what does something accord to ?	2	0.7666666666666666	1.0	0.0
accord	1	A2	what is something accorded to ?	2	0.7666666666666666	2.0	0.0
account	1	A0	what accounts for something?	50	0.5993034024798731	4.0	12.0
account	1	A0	what accounts for something?	50	0.5883680578680578	27.0	107.0
account	1	A1	what does something account for ?	50	0.6821278522176129	31.0	19.0
account	1	A1	what does something account for ?	50	0.6495135841111075	31.0	19.0
accredit	1	A1	what is accredited ?	2	0.5	1.0	1.0
accredit	1	A2	how is something accredited ?	1	0.962962962962963	0.0	1.0
accrete	1	A1	what is accreted ?	1	1.0	0.0	1.0
accrete	1	A1	what accretes ?	1	0.0	3.0	0.0
accrue	1	A0	what accrues something ?	1	1.0	1.0	0.0
accrue	1	A0	what accrues something ?	1	1.0	0.0	1.0
accrue	1	A1	what is accrued ?	13	0.989010989010989	0.0	3.0
accrue	1	A1	what does something accrue ?	13	0.4102564102564103	1.0	0.0
accumulate	1	A0	what accumulates something somewhere?	9	0.8805453805453805	1.0	0.0
accumulate	1	A0	what accumulates something ?	9	0.8294853294853294	0.0	4.0
accumulate	1	A1	what is accumulated ?	37	0.6121748371748371	6.0	6.0
accumulate	1	A1	what accumulates ?	37	0.5297121797121797	10.0	5.0
accuse	1	A0	what accuses something of doing something?	50	0.6960160015423175	2.0	0.0
accuse	1	A0	what accuses something of something?	50	0.6941653883873563	6.0	0.0
accuse	1	A1	what is accused of something?	50	0.7106526806526806	2.0	1.0
accuse	1	A1	what is accused of doing something?	50	0.6912461222987538	1.0	0.0
accuse	1	A2	why is something accused ?	50	0.708172662948646	1.0	0.0
accuse	1	A2	what is something accused of ?	50	0.7044749443030908	22.0	4.0
accustom	1	A0	what accustoms something ?	1	0.0	0.0	1.0
accustom	1	A1	what is accustomed to something?	5	0.43809523809523815	1.0	3.0
accustom	1	A1	what is accustomed to something?	5	0.37142857142857133	1.0	0.0
accustom	1	A2	what is something accustomed to ?	5	0.3690821256038648	1.0	1.0
ache	1	A0	what aches for something?	3	0.6666666666666666	0.0	1.0
ache	1	A0	what aches ?	3	0.5111111111111111	0.0	1.0
achieve	1	A0	what achieves something ?	50	0.5683784184168086	16.0	82.0
achieve	1	A0	what is something achieved by ?	50	0.5571156223893066	1.0	0.0
achieve	1	A1	what does something achieve ?	50	0.7381904761904761	29.0	41.0
achieve	1	A1	what is achieved by someone?	50	0.7344042950513537	1.0	0.0
acidify	1	A1	what acidifies ?	1	0.2857142857142857	0.0	1.0
acidify	1	A1	why does something acidify somewhere?	1	0.21052631578947367	1.0	0.0
acknowledge	1	A0	what acknowledges something ?	50	0.6429217383923267	10.0	61.0
acknowledge	1	A0	what acknowledges something somewhere?	50	0.6065328495034378	1.0	0.0
acknowledge	1	A1	what does something acknowledge ?	50	0.8234030218897128	10.0	5.0
acknowledge	1	A1	what does something acknowledge somewhere?	50	0.7490734595494424	1.0	0.0
acquaint	1	A1	what is acquainted with someone?	3	0.3333333333333333	1.0	0.0
acquaint	1	A1	what is acquainted ?	3	0.3333333333333333	0.0	2.0
acquire	1	A0	what acquires something ?	50	0.4906813186813187	7.0	19.0
acquire	1	A0	what acquires something ?	50	0.4828522588522589	11.0	127.0
