verb_form	sense_id	role_type	proto_question	support	squad_f1	proto_count_qasrl	proto_count_onto
bid	01	A0	who bids something ?	40	0.5253842406527829	0.0	7.0
bid	01	A0	who bids ?	40	0.5072485357779475	0.0	3.0
bid	01	A0	who bids up something?	40	0.5060092406527829	0.0	3.0
bid	01	A0	who bids for something?	40	0.5035092406527829	0.0	10.0
bid	01	A0	who bids on something?	40	0.5035092406527829	0.0	4.0
bid	01	A0	who bids to do something?	40	0.5011381350959356	1.0	0.0
bid	01	A0	who bids somewhere?	40	0.473953081232493	1.0	0.0
bid	01	A0	what bids something ?	40	0.46186218300029036	0.0	1.0
bid	01	A0	what bids for something?	40	0.4603404438698556	0.0	2.0
bid	01	A0	what bids ?	40	0.42833980561921736	1.0	0.0
bid	01	A1	what does something bid ?	50	0.7182723943104707	0.0	3.0
bid	01	A1	what does something bid for ?	50	0.7130696133259061	3.0	2.0
bid	01	A1	what is bid for ?	50	0.6769980084523695	0.0	1.0
bid	01	A1	what is bid ?	50	0.6614333670967065	0.0	7.0
bid	01	A1	what is bid up ?	50	0.6582343825587128	0.0	1.0
bid	01	A1	what does something bid on ?	50	0.648123576622298	0.0	1.0
bid	01	A1	where does something bid ?	50	0.44128856437679986	0.0	1.0
bid	01	A1	why is something bid ?	50	0.38522161498632085	0.0	1.0
bid	01	A1	where does something bid something ?	50	0.3004207491854551	0.0	1.0
bid	01	A1	who does something bid something?	50	0.29536943672082994	1.0	0.0
bid	01	A2	how much does something bid somewhere?	12	0.7897292250233429	1.0	0.0
bid	01	A2	how does something bid ?	12	0.7422799422799423	0.0	1.0
bid	01	A2	what does something bid ?	12	0.3811965811965812	0.0	2.0
bid	01	A2	who does something bid something?	12	0.08585858585858586	1.0	0.0
bring	01	A0	who brings something to something?	50	0.5612554112554112	3.0	0.0
bring	01	A0	what brings something somewhere?	50	0.5570776445776445	7.0	0.0
bring	01	A0	who brings something somewhere?	50	0.5339427239427239	7.0	0.0
bring	01	A0	what brings something ?	50	0.517061494061494	45.0	231.0
bring	01	A0	what brings something something?	50	0.5148786657786658	0.0	5.0
bring	01	A0	what brings in something?	50	0.5104221684748	0.0	7.0
bring	01	A0	what brings something to something?	50	0.5010130066012419	5.0	0.0
bring	01	A0	who brings something ?	50	0.49893162393162394	32.0	339.0
bring	01	A0	who brings up something?	50	0.47430043812396755	0.0	20.0
bring	01	A0	who brings in something?	50	0.4636974136974137	0.0	20.0
bring	01	A0	what brings up something?	50	0.4536016206016205	0.0	11.0
bring	01	A0	what brings something into something?	50	0.4496400940056112	2.0	0.0
bring	01	A0	who brings about something?	50	0.4343140193140193	0.0	9.0
bring	01	A0	who brings ?	50	0.3337873015873016	0.0	13.0
bring	01	A0	how is something brought somewhere?	50	0.2956108336108336	2.0	0.0
bring	01	A0	what brings ?	50	0.16496163836163838	2.0	10.0
bring	01	A0	what is brought ?	50	0.07353868353868352	4.0	0.0
bring	01	A1	what does something bring somewhere?	50	0.6509013209013209	9.0	0.0
bring	01	A1	what does something bring ?	50	0.6450090954796837	64.0	252.0
bring	01	A1	what is brought somewhere?	50	0.6333994110464699	15.0	0.0
bring	01	A1	what is brought ?	50	0.6223667443667442	44.0	163.0
bring	01	A1	what does something bring to something?	50	0.5924657891128479	5.0	0.0
bring	01	A1	who does something bring ?	50	0.5774859911330499	0.0	91.0
bring	01	A1	what does something bring up ?	50	0.5630781767252355	0.0	8.0
bring	01	A1	what does something bring about ?	50	0.5536597846597846	0.0	4.0
bring	01	A1	what is brought to something?	50	0.5409981201594105	4.0	0.0
bring	01	A1	who is brought ?	50	0.5141846584787761	0.0	50.0
bring	01	A1	who is brought somewhere?	50	0.44784702139965304	0.0	5.0
bring	01	A1	what brings ?	50	0.44046065046065047	0.0	6.0
bring	01	A1	what is brought about ?	50	0.4395116678432367	4.0	0.0
bring	01	A1	who brings ?	50	0.32763463772000356	0.0	7.0
bring	01	A1	what does something bring something to ?	50	0.2694490032167517	4.0	0.0
bring	01	A1	what brings something ?	50	0.10862495036328708	4.0	4.0
bring	01	A1	where does something bring something ?	50	0.09170634920634921	4.0	0.0
bring	01	A2	where does something bring something ?	50	0.5306401147871737	18.0	27.0
bring	01	A2	where does something bring ?	50	0.4909090354090355	2.0	7.0
bring	01	A2	what is something brought to ?	50	0.4617221112221113	2.0	0.0
bring	01	A2	what does something bring something to ?	50	0.45313503163503177	4.0	0.0
bring	01	A2	who does something bring something to ?	50	0.4251081696081696	0.0	8.0
bring	01	A2	where is something brought ?	50	0.40235634833003253	22.0	29.0
bring	01	A2	when does something bring something ?	50	0.39091211853280816	0.0	2.0
bring	01	A2	who does something bring something?	50	0.37964017269280426	0.0	26.0
bring	01	A2	who does something bring ?	50	0.2550904542952598	0.0	5.0
bring	01	A2	how does something bring ?	50	0.23391650506356393	0.0	2.0
bring	01	A2	what is brought ?	50	0.16497512674388942	2.0	0.0
bring	01	A2	what does something bring ?	50	0.15918587947999713	7.0	4.0
bring	01	A2	who is brought ?	50	0.13713496307613954	0.0	6.0
bring	01	A2	what brings something ?	50	0.12877853725222146	2.0	0.0
bring	01	A2	what is brought to something?	50	0.09233964784859924	1.0	0.0
bring	01	A2	what does something bring to something?	50	0.08697355912061795	1.0	0.0
bring	01	A3	where does something bring ?	50	0.37859645909645906	0.0	9.0
bring	01	A3	what is something brought to ?	50	0.37042757242757246	5.0	0.0
bring	01	A3	what does something bring something to ?	50	0.34867631061748694	1.0	3.0
bring	01	A3	how does something bring ?	50	0.333602097249156	0.0	18.0
bring	01	A3	where does something bring something ?	50	0.2968401366075784	4.0	15.0
bring	01	A3	what is something brought ?	50	0.29103663003663	0.0	1.0
bring	01	A3	what does something bring ?	50	0.2756283487754076	16.0	6.0
bring	01	A3	what does something bring something into ?	50	0.26394975939093585	2.0	0.0
bring	01	A3	how is something brought ?	50	0.2522602339181287	2.0	29.0
bring	01	A3	where is something brought ?	50	0.22837028399876697	9.0	13.0
bring	01	A3	what is brought ?	50	0.2257517482517483	4.0	2.0
bring	01	A3	how does something bring something ?	50	0.20191774891774894	2.0	26.0
bring	01	A3	what brings ?	50	0.19370471685177573	1.0	0.0
bring	01	A4	what is something brought from ?	20	0.6633003760944935	1.0	0.0
bring	01	A4	where is something brought from ?	20	0.6633003760944935	1.0	0.0
bring	01	A4	where does something bring something ?	20	0.5608003760944937	0.0	4.0
bring	01	A4	where is something brought ?	20	0.5125860903802081	2.0	1.0
bring	01	A4	who does something bring something from ?	20	0.5124670427611604	0.0	1.0
bring	01	A4	how is something brought ?	20	0.5032374488256841	0.0	1.0
bring	01	A4	what does something bring ?	20	0.36764696656001006	2.0	0.0
bring	01	A4	what brings something ?	20	0.24300210367547828	1.0	0.0
cost	01	A1	what costs something ?	50	0.4469520479520479	15.0	154.0
cost	01	A1	what costs something something?	50	0.4447407663330584	2.0	2.0
cost	01	A1	who costs something something?	50	0.43652980352980353	0.0	1.0
cost	01	A1	who costs something ?	50	0.41089577089577084	0.0	3.0
cost	01	A1	why is something cost ?	50	0.3210603873250932	0.0	1.0
cost	01	A1	what costs of something?	50	0.3152198781610547	0.0	1.0
cost	01	A1	what costs ?	50	0.2395716962775786	2.0	8.0
cost	01	A1	why does something cost something ?	50	0.1938032687164468	0.0	1.0
cost	01	A1	when does something cost something ?	50	0.17475223709898635	0.0	1.0
cost	01	A1	what does something cost ?	50	0.013999999999999999	1.0	0.0
cost	01	A2	how does something cost ?	50	0.7476931216931217	2.0	0.0
cost	01	A2	what does something cost someone?	50	0.7410374440374441	1.0	3.0
cost	01	A2	what does something cost ?	50	0.7293597883597885	5.0	55.0
cost	01	A2	how much does something cost ?	50	0.7181395154553052	4.0	0.0
cost	01	A2	what is cost ?	50	0.6714636270162586	0.0	3.0
cost	01	A2	what is something cost ?	50	0.6421418951418952	0.0	1.0
cost	01	A2	what costs to do something?	50	0.6077258852258853	0.0	2.0
cost	01	A2	what costs ?	50	0.5740600434137587	0.0	2.0
cost	01	A2	what costs something ?	50	0.04977142857142857	0.0	8.0
cost	01	A3	who does something cost something?	50	0.4940676691729323	2.0	13.0
cost	01	A3	who does something cost ?	50	0.4728496910726012	0.0	30.0
cost	01	A3	who costs something to ?	50	0.4210245456298088	0.0	1.0
cost	01	A3	who is cost something ?	50	0.3689793507146449	1.0	0.0
cost	01	A3	who costs ?	50	0.3555814593043695	0.0	1.0
cost	01	A3	who is cost ?	50	0.2716579237755708	0.0	9.0
cost	01	A3	what does something cost ?	50	0.12370409982174686	0.0	8.0
fund	01	A0	who funds something ?	50	0.6325624922902598	7.0	14.0
fund	01	A0	what funds something ?	50	0.627711718011568	0.0	5.0
fund	01	A0	who funds ?	50	0.6069994204578384	1.0	0.0
fund	01	A0	where is something funded ?	50	0.5911534646707061	0.0	1.0
fund	01	A0	what is something funded by ?	50	0.5635181370353785	2.0	0.0
fund	01	A0	who is funded ?	50	0.5629994204578384	0.0	14.0
fund	01	A0	how is something funded ?	50	0.48681434306434324	1.0	4.0
fund	01	A0	what is funded ?	50	0.37274949826673975	5.0	5.0
fund	01	A0	how does something fund something ?	50	0.07763492063492061	1.0	0.0
fund	01	A1	what does something fund ?	50	0.543962370962371	7.0	8.0
fund	01	A1	what is funded ?	50	0.5030667480667481	8.0	13.0
fund	01	A1	what is funded by something?	50	0.4733260073260073	5.0	0.0
fund	01	A1	where is something funded ?	50	0.04148148148148148	1.0	0.0
fund	01	A2	what is something funded by ?	14	0.697737579880437	3.0	0.0
fund	01	A2	what funds something ?	14	0.687533498247784	0.0	9.0
give	01	A0	who gives something something?	50	0.46436696636696645	26.0	228.0
give	01	A0	who gives something to someone?	50	0.44188644688644696	12.0	0.0
give	01	A0	who gives something ?	50	0.3805228105228105	93.0	762.0
give	01	A0	what gives something to something?	50	0.3698831168831168	14.0	0.0
give	01	A0	what gives something ?	50	0.36527994227994237	81.0	259.0
give	01	A0	what gives something up ?	50	0.35844222444222446	6.0	0.0
give	01	A0	who gives to something?	50	0.34473060273060274	0.0	13.0
give	01	A0	what gives something something?	50	0.34272438672438665	40.0	9.0
give	01	A0	who gives up something?	50	0.31731646131646124	0.0	58.0
give	01	A0	what gives up something?	50	0.31715773115773116	6.0	3.0
give	01	A0	who gives ?	50	0.31623568943134156	6.0	10.0
give	01	A0	what gives off something?	50	0.3006028211554527	36.0	0.0
give	01	A0	who gives up ?	50	0.2502055722055722	0.0	13.0
give	01	A0	how is something given ?	50	0.1866998556998557	0.0	3.0
give	01	A1	what does something give to someone?	50	0.7237938205585265	16.0	0.0
give	01	A1	what is given to something?	50	0.7134329004329005	0.0	13.0
give	01	A1	what does something give ?	50	0.7066221033868092	146.0	404.0
give	01	A1	what is given ?	50	0.7058124098124097	168.0	124.0
give	01	A1	what does something give off ?	50	0.6929841616931401	36.0	0.0
give	01	A1	what is given to someone?	50	0.6757858416093709	11.0	17.0
give	01	A1	what does something give someone?	50	0.6590656565656566	41.0	90.0
give	01	A1	what is something given ?	50	0.6405073815073814	63.0	27.0
give	01	A1	what does something give to something?	50	0.6270868686868687	14.0	0.0
give	01	A1	what does something give something?	50	0.6190831390831391	13.0	0.0
give	01	A1	what gives ?	50	0.5924729649435532	0.0	15.0
give	01	A1	who does something give ?	50	0.49042627099148833	0.0	19.0
give	01	A1	what does something give up ?	50	0.4602081252081252	15.0	28.0
give	01	A1	what gives something ?	50	0.09410351966873706	0.0	4.0
give	01	A2	who does something give something?	50	0.5566950067476383	18.0	570.0
give	01	A2	who is something given to ?	50	0.5284727845254161	16.0	29.0
give	01	A2	who does something give something to ?	50	0.5228527379053695	37.0	41.0
give	01	A2	what does something give something to ?	50	0.43628785834048983	17.0	0.0
give	01	A2	who is given something ?	50	0.4299001349527666	57.0	154.0
give	01	A2	what is something given to ?	50	0.40521289821289824	10.0	0.0
give	01	A2	what is given something ?	50	0.39500503005766163	32.0	13.0
give	01	A2	who does something give ?	50	0.3908060044530633	0.0	17.0
give	01	A2	who is given ?	50	0.33393029193029194	0.0	47.0
give	01	A2	what does something give something?	50	0.15495776772247363	0.0	29.0
give	01	A2	what does something give ?	50	0.12262820512820514	35.0	17.0
give	01	A2	what is given ?	50	0.10313053613053613	10.0	10.0
give	01	A2	what does something give someone?	50	0.1011025641025641	3.0	0.0
invest	01	A0	who invests something ?	50	0.6790087575259989	2.0	71.0
invest	01	A0	who invests ?	50	0.6705146960319374	7.0	60.0
invest	01	A0	who invests in something?	50	0.667997557997558	2.0	33.0
invest	01	A0	who invests somewhere?	50	0.6354634583806997	0.0	12.0
invest	01	A0	what invests something ?	50	0.6238793313965728	0.0	10.0
invest	01	A0	what invests in something?	50	0.5857059492231906	1.0	7.0
invest	01	A0	who is invested ?	50	0.4524115492350787	0.0	8.0
invest	01	A0	what invests ?	50	0.3663689643689644	1.0	5.0
invest	01	A0	where is something invested ?	50	0.17033426573426574	0.0	2.0
invest	01	A0	what is invested ?	50	0.1146819650937298	1.0	7.0
invest	01	A0	what does something invest in ?	50	0.031135135135135137	1.0	0.0
invest	01	A1	what is invested in something?	50	0.6989884559884562	0.0	1.0
invest	01	A1	what is invested to something?	50	0.6316727716727718	0.0	1.0
invest	01	A1	what is invested ?	50	0.6094646464646466	3.0	45.0
invest	01	A1	what does something invest ?	50	0.5967540955776252	2.0	46.0
invest	01	A1	what invests ?	50	0.43359085359085364	0.0	2.0
invest	01	A1	how does something invest ?	50	0.23892259244023947	0.0	3.0
invest	01	A1	what does something invest in ?	50	0.22460606060606061	0.0	3.0
invest	01	A1	who invests in something?	50	0.17992429792429795	0.0	1.0
invest	01	A1	who invests ?	50	0.17166861729056854	0.0	1.0
invest	01	A1	how is something invested ?	50	0.08100785075142322	0.0	1.0
invest	01	A2	what is invested in ?	50	0.6009402406119445	1.0	0.0
invest	01	A2	what does something invest in ?	50	0.5746795013512053	2.0	3.0
invest	01	A2	what does something invest ?	50	0.5014267540984579	1.0	1.0
